"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7485","Tool Tips","chromium","2026-09-13","failed","2026-09-13","Test Suite : Tool Tips","widgets_/tool_tips.spec.js","",""
"","1861","Resizeable","chromium","2026-09-13","passed","2026-09-13","Test Suite : Resizeable","interactions/resizeable.spec.js","",""
"","17988","Accept Droppable","chromium","2026-09-13","failed","2026-09-13","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","2160","Menu","chromium","2026-09-13","passed","2026-09-13","Test suite : Menu","widgets_/menu.spec.js","",""
"","7716","Dynamic Properties Functionality","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Dynamic Properties Functionality","Elements_demoQa/dynamic_properties.spec.js","",""
"","3822","Cursor Style Draggable","chromium","2026-09-13","passed","2026-09-13","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","5124","Revert Droppable","chromium","2026-09-13","passed","2026-09-13","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","1949","Nested Frames","chromium","2026-09-13","passed","2026-09-13","Test suite : Nested Frames","alerts_frame_windows/nested_frames.spec.js","",""
"","3811","Container Restricted Draggable","chromium","2026-09-13","passed","2026-09-13","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","2259","Valid Link","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Links Functionality","Elements_demoQa/broken_links_images.spec.js","",""
"","1880","Simple Alert","chromium","2026-09-13","passed","2026-09-13","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","16700","Expand checkbox tree","chromium","2026-09-13","failed","2026-09-13","Elements Suite: Check_Box","Elements_demoQa/check_box.spec.js","",""
"","1816","Tabs","chromium","2026-09-13","passed","2026-09-13","Test Suite : Tabs","widgets_/tabs.spec.js","",""
"","3125","Web Tables","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Web Tables","Elements_demoQa/web_tables.spec.js","",""
"","3816","Axis Restricted Draggable","chromium","2026-09-13","passed","2026-09-13","Test Suite : Draggablr","interactions/dragabble.spec.js","",""
"","1924","Single Color","chromium","2026-09-13","passed","2026-09-13","Test suite : Auto Complete","widgets_/auto_complete.spec.js","",""
"","1715","Upload and Download Functionality","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Upload and Download Functionality","Elements_demoQa/upload_download.spec.js","",""
"","1880","Text Box Test","chromium","2026-09-13","passed","2026-09-13","Elements Suite: Text_Box","Elements_demoQa/text_box.spec.js","",""
"","6937","Select Menu","chromium","2026-09-13","failed","2026-09-13","Test Suite : Select Menu","widgets_/select_menu.spec.js","",""
"","1639","Confirm Alert","chromium","2026-09-13","passed","2026-09-13","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","1749","Prompt Box Alert","chromium","2026-09-13","passed","2026-09-13","Alerts => Test Suite","alerts_frame_windows/alerts.spec.js","",""
"","1801","Slider","chromium","2026-09-13","passed","2026-09-13","Test suite : Slider","widgets_/slider.spec.js","",""
"","2638","test","chromium","2026-09-13","passed","2026-09-13","Test Suite : Accordian","widgets_/accordian.spec.js","",""
"","7283","Prevent Propogation Droppable","chromium","2026-09-13","failed","2026-09-13","Test Suite : Droppable","interactions/droppable.spec.js","",""
"","1971","Sortable List","chromium","2026-09-13","passed","2026-09-13","Test Suite : Sortable","interactions/sortable.spec.js","",""
"","1987","Selectable","chromium","2026-09-13","passed","2026-09-13","Test Suite : Selectable","interactions/selectable.spec.js","",""
"","2229","Frames","chromium","2026-09-13","passed","2026-09-13","Test suite : Frames","alerts_frame_windows/frames.spec.js","",""
"","2079","Browser Windows : New Window","chromium","2026-09-13","passed","2026-09-13","ALerts, Frame & Windows => Test suite","alerts_frame_windows/browser_windows.spec.js","",""
